Area,Bedrooms,Bathrooms,Age,Location,Price
800,2,1,10,Mumbai,4500000
1000,2,2,8,Mumbai,5500000
1200,3,2,6,Mumbai,6800000
1500,3,2,5,Mumbai,8200000
1800,4,3,4,Mumbai,10500000
2000,4,3,3,Mumbai,12000000
900,2,1,12,Pune,4000000
1100,2,2,9,Pune,5000000
1300,3,2,7,Pune,6200000
1600,3,2,5,Pune,7600000
1900,4,3,4,Pune,9500000
2200,4,3,2,Pune,11000000
850,2,1,11,Nagpur,3000000
1050,2,2,8,Nagpur,3800000
1250,3,2,6,Nagpur,4700000
1500,3,2,5,Nagpur,5600000
1750,4,3,4,Nagpur,6800000
2100,4,3,2,Nagpur,8000000
950,2,1,10,Nashik,3200000
1150,2,2,8,Nashik,4100000
1400,3,2,6,Nashik,5000000
1650,3,2,5,Nashik,5900000
1850,4,3,3,Nashik,7000000
2150,4,3,2,Nashik,8200000
